"isSame","nameability","shapePair","shape1","shape2","N","average_rt","sd","se","ci","low_ci","high_ci","exp3A","exp3B"
"false","high","pt24.04_high,pt24.07_high","pt24.04_high","pt24.07_high",17,600.736461262323,65.1149740763274,15.7927009368267,33.4790304049953,567.257430857328,634.215491667319,"no","no"
"false","high","pt24.04_high,pt24.08_high","pt24.04_high","pt24.08_high",17,638.741106918298,60.7868386705262,14.7429739109388,31.2537085200799,607.487398398218,669.994815438378,"no","no"
"false","high","pt24.05_high,pt24.06_high","pt24.05_high","pt24.06_high",16,582.768523878511,47.8586870489314,11.9646717622329,25.5020941903831,557.266429688128,608.270618068894,"yes","no"
"false","high","pt24.05_high,pt24.07_high","pt24.05_high","pt24.07_high",17,622.338286278126,48.011144305048,11.6444128927344,24.6850525976279,597.653233680498,647.023338875754,"no","no"
"false","high","pt24.05_high,pt24.08_high","pt24.05_high","pt24.08_high",17,641.072589881048,71.8010758596831,17.4143188119094,36.9167067316951,604.155883149352,677.989296612743,"no","no"
"false","high","pt24.06_high,pt24.07_high","pt24.06_high","pt24.07_high",17,703.304422324263,64.9651525728769,15.7563638848434,33.401999295938,669.902423028325,736.706421620201,"no","yes"
"false","high","pt24.06_high,pt24.08_high","pt24.06_high","pt24.08_high",17,561.999134978442,38.9311928965305,9.44220120257007,20.0165723656416,541.982562612801,582.015707344084,"no","no"
"false","high","pt24.07_high,pt24.08_high","pt24.07_high","pt24.08_high",18,601.054638018116,61.144421387787,14.4118783316773,30.4064054100112,570.648232608104,631.461043428127,"no","no"
"false","low","pt24.01_low,pt24.02_low","pt24.01_low","pt24.02_low",16,778.020365882691,129.569487363503,32.3923718408758,69.0427062398381,708.977659642853,847.063072122529,"yes","no"
"false","low","pt24.01_low,pt24.03_low","pt24.01_low","pt24.03_low",16,617.220556036385,35.9659862946463,8.99149657366158,19.1649212858333,598.055634750552,636.385477322219,"yes","yes"
"false","low","pt24.01_low,pt24.04_low","pt24.01_low","pt24.04_low",16,643.243553269172,45.5599320153901,11.3899830038475,24.2771740974844,618.966379171688,667.520727366656,"yes","yes"
