"experiment","subject","condition","conditionC","totalTrialNum","totalTrialNumC","blockNum","categoryLoc","imageName","imageType","isRight","RT","totalTimeMinutes","Age","Gender","L1English"
"1A","p603987","high",0.5,17,4.5,3,"right","high_B_110.png","1ColorDiff",1,1827,3.85535,57,"Female","English"
"1A","p603987","high",0.5,18,5.5,3,"right","high_B_101.png","1ColorDiff",1,2490,3.85535,57,"Female","English"
"1A","p603987","high",0.5,19,6.5,3,"right","high_B_111.png","prototype",1,1323,3.85535,57,"Female","English"
"1A","p603987","high",0.5,20,7.5,3,"left","high_A_001.png","1ColorDiff",1,1417,3.85535,57,"Female","English"
"1A","p603987","high",0.5,21,8.5,3,"left","high_A_000.png","prototype",1,1306,3.85535,57,"Female","English"
"1A","p603987","high",0.5,22,9.5,3,"left","high_A_000.png","prototype",1,1248,3.85535,57,"Female","English"
"1A","p603987","high",0.5,23,10.5,3,"right","high_B_111.png","prototype",1,1597,3.85535,57,"Female","English"
"1A","p603987","high",0.5,24,11.5,3,"left","high_A_010.png","1ColorDiff",1,1820,3.85535,57,"Female","English"
"1A","p191463","low",-0.5,1,-11.5,1,"right","low_A_001.png","1ColorDiff",1,3194,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,2,-10.5,1,"right","low_A_000.png","prototype",1,2242,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,3,-9.5,1,"left","low_B_101.png","1ColorDiff",1,2457,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,4,-8.5,1,"left","low_B_111.png","prototype",1,1753,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,5,-7.5,1,"left","low_B_110.png","1ColorDiff",1,2112,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,6,-6.5,1,"left","low_B_111.png","prototype",1,2068,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,7,-5.5,1,"right","low_A_010.png","1ColorDiff",1,1767,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,8,-4.5,1,"right","low_A_000.png","prototype",1,1720,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,9,-3.5,2,"left","low_B_101.png","1ColorDiff",1,2383,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,10,-2.5,2,"left","low_B_110.png","1ColorDiff",1,1745,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,11,-1.5,2,"right","low_A_000.png","prototype",1,1859,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,12,-0.5,2,"left","low_B_111.png","prototype",1,1932,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,13,0.5,2,"right","low_A_001.png","1ColorDiff",1,2152,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,14,1.5,2,"right","low_A_000.png","prototype",1,1683,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,15,2.5,2,"right","low_A_010.png","1ColorDiff",1,1642,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,16,3.5,2,"left","low_B_111.png","prototype",1,1651,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,17,4.5,3,"right","low_A_000.png","prototype",1,1834,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,18,5.5,3,"right","low_A_010.png","1ColorDiff",1,1988,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,19,6.5,3,"left","low_B_111.png","prototype",1,1744,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,20,7.5,3,"left","low_B_101.png","1ColorDiff",1,2059,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,21,8.5,3,"right","low_A_000.png","prototype",1,2553,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,22,9.5,3,"left","low_B_110.png","1ColorDiff",1,1895,4.7405,31,"Female","English"
"1A","p191463","low",-0.5,23,10.5,3,"left","low_B_111.png","prototype",0,2752,4.7405,31,"Female","English"
